,questionId,isCorrectAnswer,title,type,output
0,1547647797952,0.9051724137931034,"The basic ideas behind neural networks and deep learning has been around for decades, but they started getting popular only in last few years. What could be the reasons behind it?",MULTI_CHOICE,1.0
1,1547647985245,0.896551724137931,"Which activation function has non-zero centered output which makes the gradient updates go too far in different directions,  0 < output < 1, and it makes optimization harder.",SINGLE_CHOICE,1.0
2,1547648102868,0.2614942528735632,"The problem in some cases of backpropagation is that the gradient becomes vanishingly small, effectively preventing the weight from changing its value. In the worst case, this may completely stop the neural network from further training. Which of the following could reduce this problem ?",MULTI_CHOICE,0.0
3,1547648183603,0.5545977011494253,Which of the following loss functions would you use for classification problem ?,MULTI_CHOICE,1.0
4,1547648345317,0.8304597701149425,Which of the following represent the step used for Gradient Descent ?,SINGLE_CHOICE,1.0
5,1547648430483,0.7959770114942529,"When training data in SGD, the weight gets updated after:",SINGLE_CHOICE,1.0
6,1547648869118,0.3582887700534759,Which of the following results in matrix multiplication rather than element wise product of matrix A and B in tensorflow ?,MULTI_CHOICE,0.0
7,1547648939061,0.6898395721925134,Which of the following are true about Tensors?,MULTI_CHOICE,1.0
8,1547649046275,0.4679144385026738,Which of the following sentences are True.,MULTI_CHOICE,0.0
9,1547649123059,0.40641711229946526,The features of tensorflow are:,MULTI_CHOICE,0.0
10,1547649282570,0.8869565217391304,"
The reinforcement learning is a technique to allow an agent to take actions and interact with an environment so as to maximize:

",SINGLE_CHOICE,1.0
11,1547649345305,0.6434782608695652,The five essential parameters that define an MDP (Markov Decision Processes) are: ,MULTI_CHOICE,1.0
12,1547649453767,0.3884057971014493,Which of the following is True?,MULTI_CHOICE,0.0
13,1547649523144,0.3739130434782609,Which of the following are model-free RL algorithms?,MULTI_CHOICE,0.0
14,1547649929829,0.9438775510204082,"To transform three dimensional image to one, we use:",SINGLE_CHOICE,1.0
15,1547650011675,0.8698979591836735,A 6X6 image is convolved with a 3X3 filter with stride of 1 and ‘Valid’ padding. What is the size of the output image ?,SINGLE_CHOICE,1.0
